Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20002002,2000-2002,%,18.4,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20012003,2001-2003,%,20.1,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20022004,2002-2004,%,21.5,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20032005,2003-2005,%,22.1,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20042006,2004-2006,%,21.6,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20052007,2005-2007,%,19.6,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20062008,2006-2008,%,17.5,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20072009,2007-2009,%,16.6,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20082010,2008-2010,%,16.3,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20092011,2009-2011,%,16,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20102012,2010-2012,%,15.6,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20112013,2011-2013,%,15,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20122014,2012-2014,%,15.1,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20132015,2013-2015,%,14.9,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20142016,2014-2016,%,14.7,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20152017,2015-2017,%,14.2,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20162018,2016-2018,%,13.8,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20172019,2017-2019,%,14,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,210041,Prevalence of undernourishment (percent) (3-year average),20182020,2018-2020,%,15.3,F,FAO estimate,
FS,Suite of Food Security Indicators,100,India,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2006,2006,%,20,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2014,2014,%,15.1,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2015,2015,%,20.8,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21026,Percentage of children under 5 years affected by wasting (percent),2017,2017,%,17.3,X,International reliable sources,
FS,Suite of Food Security Indicators,100,India,6121,Value,21025,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2000,2000,%,49.8,X,International reliable sources,
